Model,Metric,Dataset,Score
Elastic Net,Accuracy,Train,0.6978260869565217
Elastic Net,Accuracy,Validation,0.6379310344827587
Elastic Net,Accuracy,Train,0.6941431670281996
Elastic Net,Accuracy,Validation,0.6347826086956522
Elastic Net,Accuracy,Train,0.6898047722342733
Elastic Net,Accuracy,Validation,0.6782608695652174
Elastic Net,Accuracy,Train,0.6854663774403471
Elastic Net,Accuracy,Validation,0.6956521739130435
Elastic Net,Accuracy,Train,0.6767895878524945
Elastic Net,Accuracy,Validation,0.7478260869565218
Elastic Net,Precision,Train,0.6891891891891891
Elastic Net,Precision,Validation,0.5
Elastic Net,Precision,Train,0.6956521739130435
Elastic Net,Precision,Validation,0.47058823529411764
Elastic Net,Precision,Train,0.7222222222222222
Elastic Net,Precision,Validation,0.7272727272727273
Elastic Net,Precision,Train,0.6486486486486487
Elastic Net,Precision,Validation,0.7692307692307693
Elastic Net,Precision,Train,0.6607142857142857
Elastic Net,Precision,Validation,0.8095238095238095
Elastic Net,Recall,Train,0.30538922155688625
Elastic Net,Recall,Validation,0.2619047619047619
Elastic Net,Recall,Train,0.2857142857142857
Elastic Net,Recall,Validation,0.1951219512195122
Elastic Net,Recall,Train,0.23353293413173654
Elastic Net,Recall,Validation,0.19047619047619047
Elastic Net,Recall,Train,0.2874251497005988
Elastic Net,Recall,Validation,0.23809523809523808
Elastic Net,Recall,Train,0.2215568862275449
Elastic Net,Recall,Validation,0.40476190476190477
Elastic Net,Specificity,Train,0.9215017064846417
Elastic Net,Specificity,Validation,0.8513513513513513
Elastic Net,Specificity,Train,0.9283276450511946
Elastic Net,Specificity,Validation,0.8783783783783784
Elastic Net,Specificity,Train,0.9489795918367347
Elastic Net,Specificity,Validation,0.958904109589041
Elastic Net,Specificity,Train,0.9115646258503401
Elastic Net,Specificity,Validation,0.958904109589041
Elastic Net,Specificity,Train,0.935374149659864
Elastic Net,Specificity,Validation,0.9452054794520548
Elastic Net,ROC-AUC,Train,0.7525086346079174
Elastic Net,ROC-AUC,Validation,0.6727799227799227
Elastic Net,ROC-AUC,Train,0.7563790021127904
Elastic Net,ROC-AUC,Validation,0.6417270929466051
Elastic Net,ROC-AUC,Train,0.7215772536559533
Elastic Net,ROC-AUC,Validation,0.7563600782778865
Elastic Net,ROC-AUC,Train,0.7386655260906758
Elastic Net,ROC-AUC,Validation,0.693085453359426
Elastic Net,ROC-AUC,Train,0.7195405108151044
Elastic Net,ROC-AUC,Validation,0.7586431833007174
Elastic Net,PR-AUC,Train,0.6427187356724154
Elastic Net,PR-AUC,Validation,0.5469051852458594
Elastic Net,PR-AUC,Train,0.6494021494854013
